id,location_id,terminal_id,vehicle_type_id,price
783,131,3,1,0
784,131,4,1,0
785,131,5,1,0
786,131,6,1,0
787,132,1,1,0
788,132,2,1,350
789,132,3,1,0
790,132,4,1,0
791,132,5,1,0
792,132,6,1,0
793,133,1,1,0
794,133,2,1,195
795,133,3,1,0
796,133,4,1,0
797,133,5,1,0
798,133,6,1,0
799,134,1,1,450
800,134,2,1,200
801,134,3,1,0
802,134,4,1,0
803,134,5,1,0
804,134,6,1,0
805,135,1,1,0
806,135,2,1,285
807,135,3,1,0
808,135,4,1,0
809,135,5,1,0
810,135,6,1,0
811,136,1,1,0
812,136,2,1,375
813,136,3,1,0
814,136,4,1,0
815,136,5,1,0
816,136,6,1,0
817,137,1,1,800
818,137,2,1,310
819,137,3,1,0
820,137,4,1,0
821,137,5,1,0
822,137,6,1,0
823,138,1,1,425
824,138,2,1,0
825,138,3,1,0
826,138,4,1,550
827,138,5,1,0
828,138,6,1,0
829,139,1,1,0
830,139,2,1,330
831,139,3,1,0
832,139,4,1,0
833,139,5,1,0
834,139,6,1,0
835,140,1,1,520
836,140,2,1,490
837,140,3,1,0
838,140,4,1,0
839,140,5,1,0
840,140,6,1,0
841,141,1,1,0
842,141,2,1,275
843,141,3,1,0
844,141,4,1,0
845,141,5,1,0
846,141,6,1,0
847,142,1,1,0
848,142,2,1,0
849,142,3,1,0
850,142,4,1,0
851,142,5,1,0
852,142,6,1,0
853,143,1,1,700
854,143,2,1,625
855,143,3,1,0
856,143,4,1,0
857,143,5,1,0
858,143,6,1,0
859,144,1,1,650
860,144,2,1,650
861,144,3,1,0
862,144,4,1,650
863,144,5,1,0
864,144,6,1,0
865,145,1,1,550
866,145,2,1,800
867,145,3,1,0
868,145,4,1,500
869,145,5,1,0
870,145,6,1,0
871,146,1,1,575
872,146,2,1,550
873,146,3,1,0
874,146,4,1,0
875,146,5,1,0
876,146,6,1,0
877,147,1,1,325
878,147,2,1,0
879,147,3,1,0
880,147,4,1,375
881,147,5,1,0
882,147,6,1,0
883,148,1,1,490
884,148,2,1,490
885,148,3,1,0
886,148,4,1,0
887,148,5,1,0
888,148,6,1,0
889,149,1,1,290
890,149,2,1,575
891,149,3,1,0
892,149,4,1,0
893,149,5,1,0
894,149,6,1,0
895,150,1,1,325
896,150,2,1,0
897,150,3,1,0
898,150,4,1,380
899,150,5,1,0
900,150,6,1,0
901,151,1,1,0
902,151,2,1,0
903,151,3,1,0
904,151,4,1,550
905,151,5,1,0
906,151,6,1,0
907,152,1,1,500
908,152,2,1,900
909,152,3,1,0
910,152,4,1,610
911,152,5,1,0
912,152,6,1,0
913,153,1,1,1800
914,153,2,1,1400
915,153,3,1,0
916,153,4,1,0
917,153,5,1,0
918,153,6,1,0
919,154,1,1,900
920,154,2,1,435
921,154,3,1,0
922,154,4,1,0
923,154,5,1,0
924,154,6,1,0
925,155,1,1,475
926,155,2,1,375
927,155,3,1,0
928,155,4,1,575
929,155,5,1,0
930,155,6,1,0
931,156,1,1,800
932,156,2,1,1000
933,156,3,1,0
934,156,4,1,500
935,156,5,1,0
936,156,6,1,0
937,157,1,1,825
938,157,2,1,750
939,157,3,1,0
940,157,4,1,0
941,157,5,1,0
942,157,6,1,0
943,158,1,1,800
944,158,2,1,450
945,158,3,1,0
946,158,4,1,0
947,158,5,1,0
948,158,6,1,0
949,159,1,1,900
950,159,2,1,750
951,159,3,1,0
952,159,4,1,0
953,159,5,1,0
954,159,6,1,0
955,160,1,1,800
956,160,2,1,550
957,160,3,1,0
958,160,4,1,0
959,160,5,1,0
960,160,6,1,0
961,161,1,1,700
962,161,2,1,560
963,161,3,1,0
964,161,4,1,0
965,161,5,1,0
966,161,6,1,0
967,162,1,1,600
968,162,2,1,0
969,162,3,1,0
970,162,4,1,500
971,162,5,1,0
972,162,6,1,0
973,163,1,1,0
974,163,2,1,0
975,163,3,1,0
976,163,4,1,550
977,163,5,1,0
978,163,6,1,0
979,164,1,1,0
980,164,2,1,775
981,164,3,1,0
982,164,4,1,675
983,164,5,1,0
984,164,6,1,0
985,165,1,1,0
986,165,2,1,770
987,165,3,1,0
988,165,4,1,0
989,165,5,1,0
990,165,6,1,0
991,166,1,1,310
992,166,2,1,900
993,166,3,1,0
994,166,4,1,250
995,166,5,1,0
996,166,6,1,0
997,167,1,1,0
998,167,2,1,450
999,167,3,1,0
1000,167,4,1,0
1001,167,5,1,0
1002,167,6,1,0
1003,168,1,1,600
1004,168,2,1,650
1005,168,3,1,0
1006,168,4,1,0
1007,168,5,1,0
1008,168,6,1,0
1009,169,1,1,1050
1010,169,2,1,0
1011,169,3,1,0
1012,169,4,1,0
1013,169,5,1,0
1014,169,6,1,0
1015,170,1,1,0
1016,170,2,1,1600
1017,170,3,1,0
1018,170,4,1,1750
1019,170,5,1,0
1020,170,6,1,0
1021,171,1,1,0
1022,171,2,1,680
1023,171,3,1,0
1024,171,4,1,0
1025,171,5,1,0
1026,171,6,1,0
1027,172,1,1,0
1028,172,2,1,590
1029,172,3,1,0
1030,172,4,1,0
1031,172,5,1,0
1032,172,6,1,0
1033,173,1,1,750
1034,173,2,1,750
1035,173,3,1,0
1036,173,4,1,600
1037,173,5,1,0
1038,173,6,1,0
1039,174,1,1,325
1040,174,2,1,0
1041,174,3,1,0
1042,174,4,1,375
1043,174,5,1,0
1044,174,6,1,0
1045,175,1,1,300
1046,175,2,1,0
1047,175,3,1,0
1048,175,4,1,410
1049,175,5,1,0
1050,175,6,1,0
1051,176,1,1,1400
1052,176,2,1,1400
1053,176,3,1,0
1054,176,4,1,1275
1055,176,5,1,0
1056,176,6,1,175
1057,177,1,1,1300
1058,177,2,1,1320
1059,177,3,1,0
1060,177,4,1,1200
1061,177,5,1,0
1062,177,6,1,350
1063,178,1,1,0
1064,178,2,1,1600
1065,178,3,1,0
1066,178,4,1,1600
1067,178,5,1,0
1068,178,6,1,825
1069,179,1,1,0
1070,179,2,1,1350
1071,179,3,1,0
1072,179,4,1,0
1073,179,5,1,0
1074,179,6,1,650
1075,180,1,1,1600
1076,180,2,1,1400
1077,180,3,1,0
1078,180,4,1,1200
1079,180,5,1,0
1080,180,6,1,525
1081,181,1,1,1550
1082,181,2,1,1550
1083,181,3,1,0
1084,181,4,1,1375
1085,181,5,1,0
1086,181,6,1,250
1087,182,1,1,1500
1088,182,2,1,1550
1089,182,3,1,0
1090,182,4,1,1400
1091,182,5,1,0
1092,182,6,1,390
1093,183,1,1,0
1094,183,2,1,490
1095,183,3,1,0
1096,183,4,1,0
1097,183,5,1,0
1098,183,6,1,0
1099,184,1,1,0
1100,184,2,1,550
1101,184,3,1,0
1102,184,4,1,0
1103,184,5,1,0
1104,184,6,1,0
1105,185,1,1,0
1106,185,2,1,750
1107,185,3,1,0
1108,185,4,1,0
1109,185,5,1,0
1110,185,6,1,0
1111,186,1,1,750
1112,186,2,1,455
1113,186,3,1,0
1114,186,4,1,1300
1115,186,5,1,0
1116,186,6,1,0
1117,187,1,1,350
1118,187,2,1,450
1119,187,3,1,0
1120,187,4,1,425
1121,187,5,1,0
1122,187,6,1,0
1123,188,1,1,0
1124,188,2,1,380
1125,188,3,1,0
1126,188,4,1,0
1127,188,5,1,0
1128,188,6,1,0
1129,189,1,1,325
1130,189,2,1,0
1131,189,3,1,0
1132,189,4,1,270
1133,189,5,1,0
1134,189,6,1,0
1135,190,1,1,235
1136,190,2,1,0
1137,190,3,1,0
1138,190,4,1,410
1139,190,5,1,0
1140,190,6,1,0
1141,191,1,1,0
1142,191,2,1,725
1143,191,3,1,0
1144,191,4,1,0
1145,191,5,1,0
1146,191,6,1,0
1147,192,1,1,480
1148,192,2,1,0
1149,192,3,1,0
1150,192,4,1,550
1151,192,5,1,0
1152,192,6,1,0
1153,193,1,1,0
1154,193,2,1,500
1155,193,3,1,0
1156,193,4,1,0
1157,193,5,1,0
1158,193,6,1,0
1159,194,1,1,500
1160,194,2,1,500
1161,194,3,1,0
1162,194,4,1,0
1163,194,5,1,0
1164,194,6,1,0
1165,195,1,1,0
1166,195,2,1,550
1167,195,3,1,0
1168,195,4,1,0
1169,195,5,1,0
1170,195,6,1,0
1171,196,1,1,475
1172,196,2,1,375
1173,196,3,1,0
1174,196,4,1,575
1175,196,5,1,0
1176,196,6,1,0
1177,197,1,1,0
1178,197,2,1,450
1179,197,3,1,0
1180,197,4,1,0
1181,197,5,1,0
1182,197,6,1,0
1183,198,1,1,430
1184,198,2,1,600
1185,198,3,1,0
1186,198,4,1,500
1187,198,5,1,0
1188,198,6,1,0
1189,199,1,1,0
1190,199,2,1,450
1191,199,3,1,0
1192,199,4,1,0
1193,199,5,1,0
1194,199,6,1,0
1195,200,1,1,325
1196,200,2,1,0
1197,200,3,1,0
1198,200,4,1,380
1199,200,5,1,0
1200,200,6,1,0
1201,201,1,1,325
1202,201,2,1,800
1203,201,3,1,0
1204,201,4,1,135
1205,201,5,1,0
1206,201,6,1,0
1207,202,1,1,800
1208,202,2,1,290
1209,202,3,1,0
1210,202,4,1,0
1211,202,5,1,0
1212,202,6,1,0
1213,203,1,1,350
1214,203,2,1,0
1215,203,3,1,0
1216,203,4,1,0
1217,203,5,1,0
1218,203,6,1,0
1219,204,1,1,0
1220,204,2,1,285
1221,204,3,1,0
1222,204,4,1,0
1223,204,5,1,0
1224,204,6,1,0
1225,205,1,1,800
1226,205,2,1,550
1227,205,3,1,0
1228,205,4,1,0
1229,205,5,1,0
1230,205,6,1,0
1231,206,1,1,0
1232,206,2,1,525
1233,206,3,1,0
1234,206,4,1,0
1235,206,5,1,0
1236,206,6,1,0
